index,市区町村コード,住所,種類,面積（㎡）,築年数,最寄駅：距離（分）,取引価格（総額）,divergence,ratio,signed_pct,direction,band,quantile_median,empirical_median,has_overlap,n_used,flag
18946,13112,東京都世田谷区上馬,中古マンション等,60,43.0,8.0,62000000,0.39848921687416294,1.398489216874163,39.84892168741629,高値,中度,62232770.15090025,44500000.0,True,30,要人手査定
32201,13122,東京都葛飾区お花茶屋,中古マンション等,20,38.0,3.0,33000000,0.3984521067702895,1.3984521067702895,39.84521067702895,高値,中度,12096610.723563004,8650000.0,True,30,要人手査定
15493,13110,東京都目黒区八雲,中古マンション等,60,61.0,10.0,19000000,0.39844527401581,0.60155472598419,-39.844527401581,安値,中度,33987842.018106736,56500000.0,True,30,要人手査定
16710,13111,東京都大田区東雪谷,中古マンション等,120,45.0,9.0,70000000,0.3983997559237811,1.398399755923781,39.83997559237811,高値,中度,90196784.25708388,64500000.0,True,30,要人手査定
9776,13107,東京都墨田区墨田,中古マンション等,60,30.0,2.0,34000000,0.398371652773572,0.601628347226428,-39.8371652773572,安値,中度,33992001.61829318,56500000.0,True,30,要人手査定
33189,13123,東京都江戸川区北小岩,中古マンション等,20,38.0,1.0,6500000,0.39820185521047574,0.6017981447895242,-39.82018552104758,安値,中度,9026972.171842864,15000000.0,True,30,要人手査定
12173,13108,東京都江東区枝川,中古マンション等,50,47.0,14.0,42000000,0.39809585216401494,1.398095852164015,39.809585216401494,高値,中度,41942875.56492045,30000000.0,True,30,要人手査定
26366,13118,東京都荒川区荒川,中古マンション等,65,45.0,11.0,24000000,0.3980611016532965,0.6019388983467036,-39.80611016532965,安値,中度,22271739.23882803,37000000.0,True,30,要人手査定
29355,13120,東京都練馬区豊玉北,中古マンション等,70,20.0,5.0,69000000,0.3980141132055716,1.3980141132055717,39.801411320557165,高値,中度,81084818.56592315,58000000.0,True,30,要人手査定
30325,13121,東京都足立区千住河原町,中古マンション等,45,50.0,7.0,25000000,0.39801061734126914,1.3980106173412692,39.80106173412691,高値,中度,24465185.80347221,17500000.0,True,30,要人手査定
20513,13113,東京都渋谷区広尾,中古マンション等,60,41.0,5.0,180000000,0.39794430755818355,1.3979443075581834,39.794430755818354,高値,中度,98555073.68285194,70500000.0,True,30,要人手査定
9794,13107,東京都墨田区立花,中古マンション等,50,52.0,6.0,20000000,0.39774443873713716,0.6022555612628628,-39.774443873713714,安値,中度,20777816.863568768,34500000.0,True,30,要人手査定
37256,13210,東京都小金井市本町,中古マンション等,45,52.0,8.0,24000000,0.3976848282440992,1.3976848282440992,39.768482824409915,高値,中度,25158326.908393785,18000000.0,True,30,要人手査定
32652,13123,東京都江戸川区北小岩,中古マンション等,55,53.0,5.0,24000000,0.39759436208533916,0.6024056379146608,-39.75943620853391,安値,中度,18072169.137439825,30000000.0,True,30,要人手査定
10642,13108,東京都江東区亀戸,中古マンション等,55,6.0,7.0,45000000,0.3975204308570033,0.6024795691429967,-39.75204308570033,安値,中度,60247956.914299674,100000000.0,True,30,要人手査定
13260,13109,東京都品川区北品川,中古マンション等,70,45.0,7.0,82000000,0.39748101122022456,1.3974810112202245,39.748101122022454,高値,中度,82451379.66199325,59000000.0,True,30,要人手査定
5221,13104,東京都新宿区西落合,中古マンション等,20,32.0,1.0,13000000,0.3973818855920469,0.6026181144079531,-39.73818855920469,安値,中度,13860216.631382922,23000000.0,True,30,要人手査定
14133,13109,東京都品川区南大井,中古マンション等,50,20.0,5.0,33000000,0.39736362699837546,0.6026363730016245,-39.73636269983755,安値,中度,49114864.3996324,81500000.0,True,30,要人手査定
27445,13119,東京都板橋区大谷口北町,中古マンション等,80,41.0,15.0,53000000,0.3973600587682921,1.3973600587682922,39.73600587682921,高値,中度,47510241.99812193,34000000.0,True,30,要人手査定
18382,13112,東京都世田谷区給田,中古マンション等,60,53.0,16.0,16000000,0.39735793593044316,0.6026420640695569,-39.73579359304431,安値,中度,21996435.338538826,36500000.0,True,30,要人手査定
39511,13229,東京都西東京市西原町,中古マンション等,75,44.0,5.0,14000000,0.39734826897552206,0.602651731024478,-39.7348268975522,安値,中度,17175574.33419762,28500000.0,True,30,要人手査定
22281,13114,東京都中野区弥生町,中古マンション等,155,38.0,6.0,85000000,0.3973474906764495,1.3973474906764496,39.73474906764495,高値,中度,120171884.19817466,86000000.0,True,30,要人手査定
25215,13116,東京都豊島区南長崎,中古マンション等,70,59.0,5.0,23000000,0.3973352871274066,0.6026647128725934,-39.733528712740664,安値,中度,28023909.148575593,46500000.0,True,30,要人手査定
15656,13110,東京都目黒区上目黒,中古マンション等,50,56.0,9.0,27000000,0.39723978991273373,0.6027602100872663,-39.72397899127337,安値,中度,29535250.294276047,49000000.0,True,30,要人手査定
9953,13107,東京都墨田区本所,中古マンション等,25,2.0,8.0,42000000,0.3971511922966565,1.3971511922966564,39.71511922966565,高値,中度,41215960.17275137,29500000.0,True,30,要人手査定
39337,13227,東京都羽村市緑ヶ丘,中古マンション等,65,30.0,13.0,15000000,0.39704668044293134,1.3970466804429313,39.704668044293136,高値,中度,17463083.505536642,12500000.0,True,30,要人手査定
35371,13205,東京都青梅市住江町,中古マンション等,65,36.0,4.0,12000000,0.3969689882496444,1.3969689882496443,39.696898824964435,高値,中度,13061660.040134175,9350000.0,True,30,要人手査定
23670,13115,東京都杉並区阿佐谷南,中古マンション等,85,23.0,2.0,97000000,0.3967989425664851,1.396798942566485,39.67989425664851,高値,中度,117331111.17558475,84000000.0,True,30,要人手査定
19803,13112,東京都世田谷区弦巻,中古マンション等,75,26.0,15.0,98000000,0.39672146528188046,1.3967214652818805,39.672146528188044,高値,中度,108245913.55934574,77500000.0,True,30,要人手査定
39048,13224,東京都多摩市永山,中古マンション等,70,49.0,6.0,23000000,0.39667113194630266,1.3966711319463028,39.66711319463027,高値,中度,18855060.281275086,13500000.0,True,30,要人手査定
36430,13208,東京都調布市多摩川,中古マンション等,65,30.0,3.0,26000000,0.3966295690812795,0.6033704309187204,-39.66295690812795,安値,中度,34693799.77782643,57500000.0,True,30,要人手査定
27849,13119,東京都板橋区坂下,中古マンション等,35,46.0,6.0,9800000,0.39659712369421696,0.603402876305783,-39.6597123694217,安値,中度,11766356.087962769,19500000.0,True,30,要人手査定
5235,13104,東京都新宿区四谷,中古マンション等,70,2.0,4.0,240000000,0.39657101198263955,1.3965710119826396,39.65710119826396,高値,中度,237417072.03704873,170000000.0,True,30,要人手査定
5238,13104,東京都新宿区四谷,中古マンション等,70,2.0,4.0,220000000,0.39657101198263955,1.3965710119826396,39.65710119826396,高値,中度,237417072.03704873,170000000.0,True,30,要人手査定
26808,13118,東京都荒川区東日暮里,中古マンション等,70,6.0,8.0,110000000,0.3965369926488147,1.3965369926488147,39.65369926488147,高値,中度,105438542.94498551,75500000.0,True,30,要人手査定
8,13101,東京都千代田区平河町,中古マンション等,50,44.0,3.0,60000000,0.3964576159660315,1.3964576159660316,39.64576159660315,高値,中度,60047677.48653936,43000000.0,True,30,要人手査定
